pair,direction,shape_class,texture_class,content_idx,style_idx,resnet50_head_pred,resnet50_head_conf,resnet50_head_decision,vit_b16_head_pred,vit_b16_head_conf,vit_b16_head_decision,clip_head_pred,clip_head_conf,clip_head_decision,clip_zeroshot_pred,clip_zeroshot_conf,clip_zeroshot_decision,category
bird/car,B_shape_A_texture,car,bird,463,20,bird,0.7303435,texture,car,0.8533421,shape,car,0.11665407,shape,car,0.9370351,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,213,42,bird,0.73517233,texture,car,0.86714447,shape,car,0.11990893,shape,car,0.93525845,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,412,493,bird,0.90359753,texture,bird,0.52324104,texture,truck,0.110550635,other,car,0.5546461,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,187,11,bird,0.83614475,texture,car,0.8664091,shape,car,0.11432369,shape,car,0.92570835,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,144,93,bird,0.9740977,texture,bird,0.55538905,texture,bird,0.11733058,texture,bird,0.7440944,texture,all_texture
bird/car,B_shape_A_texture,car,bird,49,9,bird,0.8712509,texture,car,0.9686515,shape,car,0.11759205,shape,car,0.9665109,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,204,225,bird,0.72681457,texture,car,0.97466767,shape,car,0.12065744,shape,car,0.9860852,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,103,385,bird,0.9423441,texture,truck,0.34222814,other,truck,0.110633746,other,truck,0.58127284,other,mixed_other
bird/car,B_shape_A_texture,car,bird,375,234,bird,0.9465584,texture,car,0.7796507,shape,car,0.115818106,shape,car,0.96096504,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,330,451,bird,0.41821587,texture,car,0.96685,shape,car,0.123726174,shape,car,0.980606,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,70,374,deer,0.5486241,other,car,0.9718161,shape,car,0.10981238,shape,car,0.85365313,shape,mixed_other
bird/car,B_shape_A_texture,car,bird,272,247,bird,0.89609367,texture,car,0.97803736,shape,car,0.114344634,shape,car,0.95644796,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,363,434,car,0.69079685,shape,car,0.9729935,shape,car,0.12687166,shape,car,0.98983544,shape,all_shape
bird/car,B_shape_A_texture,car,bird,59,52,bird,0.8849012,texture,car,0.9884552,shape,car,0.109406866,shape,car,0.8130645,shape,disagree_shape_vs_texture
bird/car,B_shape_A_texture,car,bird,210,147,bird,0.9834003,texture,monkey,0.5644386,other,bird,0.10970242,texture,car,0.64791787,shape,disagree_shape_vs_texture
cat/ship,A_shape_B_texture,cat,ship,105,379,airplane,0.6179259,other,airplane,0.93816847,other,airplane,0.10529093,other,car,0.23358455,other,all_other
cat/ship,A_shape_B_texture,cat,ship,132,494,horse,0.67264473,other,dog,0.28557268,other,dog,0.11512758,other,horse,0.5404081,other,all_other
cat/ship,A_shape_B_texture,cat,ship,331,395,ship,0.93082017,texture,airplane,0.32312313,other,truck,0.10628046,other,car,0.36454326,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,244,99,ship,0.5800915,texture,ship,0.85841656,texture,airplane,0.107355244,other,airplane,0.32250822,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,243,232,truck,0.49554273,other,cat,0.32927665,shape,truck,0.10449748,other,monkey,0.23799446,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,445,226,ship,0.9103362,texture,airplane,0.53983843,other,bird,0.117482424,other,bird,0.940573,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,131,311,ship,0.9958039,texture,ship,0.47635847,texture,bird,0.10632581,other,ship,0.23119007,texture,mixed_other
cat/ship,A_shape_B_texture,cat,ship,135,128,airplane,0.47104254,other,airplane,0.9805895,other,bird,0.10451356,other,car,0.25964803,other,all_other
cat/ship,A_shape_B_texture,cat,ship,398,341,ship,0.903367,texture,airplane,0.5711035,other,bird,0.103758566,other,ship,0.25841707,texture,mixed_other
cat/ship,A_shape_B_texture,cat,ship,38,343,bird,0.45521483,other,cat,0.9476491,shape,cat,0.11885842,shape,bird,0.548689,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,78,178,airplane,0.5804422,other,airplane,0.6803441,other,dog,0.10435809,other,bird,0.22172925,other,all_other
cat/ship,A_shape_B_texture,cat,ship,145,83,ship,0.91346693,texture,ship,0.41526225,texture,cat,0.13296425,shape,cat,0.92015666,shape,disagree_shape_vs_texture
cat/ship,A_shape_B_texture,cat,ship,376,29,ship,0.62411934,texture,airplane,0.69579834,other,bird,0.10844474,other,ship,0.27186376,texture,mixed_other
cat/ship,A_shape_B_texture,cat,ship,441,149,ship,0.9366073,texture,ship,0.9948089,texture,truck,0.10376348,other,ship,0.21289612,texture,mixed_other
cat/ship,A_shape_B_texture,cat,ship,7,151,ship,0.95586663,texture,airplane,0.56191516,other,cat,0.11093081,shape,cat,0.43686152,shape,disagree_shape_vs_texture
cat/ship,A_shape_B_texture,cat,ship,235,411,ship,0.7931166,texture,truck,0.29818076,other,bird,0.10831193,other,car,0.37321252,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,340,35,ship,0.92900485,texture,airplane,0.6285271,other,bird,0.10416831,other,bird,0.20316364,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,372,289,ship,0.5541257,texture,airplane,0.9387873,other,truck,0.10382977,other,ship,0.18301155,texture,mixed_other
cat/ship,A_shape_B_texture,cat,ship,313,239,bird,0.95077705,other,truck,0.2554206,other,bird,0.10877593,other,bird,0.45470235,other,all_other
cat/ship,A_shape_B_texture,cat,ship,80,18,ship,0.6702853,texture,airplane,0.23107168,other,truck,0.10430583,other,car,0.2312047,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,74,433,airplane,0.66911095,other,airplane,0.90104616,other,bird,0.10421048,other,bird,0.28854573,other,all_other
cat/ship,A_shape_B_texture,cat,ship,484,115,cat,0.4618071,shape,cat,0.99657357,shape,deer,0.124714255,other,deer,0.9934378,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,440,262,ship,0.98755044,texture,ship,0.40977338,texture,truck,0.10321633,other,bird,0.23160192,other,mixed_other
cat/ship,A_shape_B_texture,cat,ship,180,104,ship,0.9768523,texture,ship,0.88860404,texture,truck,0.10574723,other,ship,0.2167907,texture,mixed_other
cat/ship,A_shape_B_texture,cat,ship,366,286,ship,0.829933,texture,airplane,0.8012042,other,truck,0.10329195,other,ship,0.36241087,texture,mixed_other
cat/ship,B_shape_A_texture,ship,cat,115,193,bird,0.70505303,other,ship,0.63270664,shape,ship,0.12842885,shape,ship,0.99320084,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,18,243,deer,0.83716613,other,bird,0.23837262,other,airplane,0.10913008,other,ship,0.7201509,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,286,309,bird,0.7671649,other,bird,0.5306511,other,bird,0.10822906,other,bird,0.46236113,other,all_other
cat/ship,B_shape_A_texture,ship,cat,149,437,ship,0.4135107,shape,cat,0.71219075,texture,bird,0.104004346,other,bird,0.1862415,other,disagree_shape_vs_texture
cat/ship,B_shape_A_texture,ship,cat,25,84,ship,0.7833929,shape,bird,0.43591708,other,ship,0.124611534,shape,ship,0.987605,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,494,61,cat,0.36395124,texture,ship,0.5766087,shape,ship,0.12860878,shape,ship,0.99202555,shape,disagree_shape_vs_texture
cat/ship,B_shape_A_texture,ship,cat,273,105,bird,0.97228336,other,bird,0.89001155,other,bird,0.11284435,other,bird,0.8046536,other,all_other
cat/ship,B_shape_A_texture,ship,cat,178,372,bird,0.80923223,other,bird,0.39480528,other,bird,0.10535382,other,monkey,0.24913208,other,all_other
cat/ship,B_shape_A_texture,ship,cat,29,313,cat,0.710356,texture,bird,0.47026843,other,truck,0.102767855,other,car,0.26132438,other,mixed_other
cat/ship,B_shape_A_texture,ship,cat,382,398,deer,0.6199561,other,bird,0.8917431,other,bird,0.10487456,other,bird,0.36142248,other,all_other
cat/ship,B_shape_A_texture,ship,cat,475,132,bird,0.8015848,other,bird,0.657098,other,truck,0.105123766,other,bird,0.23980157,other,all_other
cat/ship,B_shape_A_texture,ship,cat,151,413,bird,0.9666858,other,cat,0.5287663,texture,ship,0.11377911,shape,ship,0.9717747,shape,disagree_shape_vs_texture
cat/ship,B_shape_A_texture,ship,cat,311,145,bird,0.78553873,other,car,0.6745534,other,truck,0.10566687,other,car,0.32449335,other,all_other
cat/ship,B_shape_A_texture,ship,cat,195,440,bird,0.918102,other,airplane,0.40227792,other,bird,0.10508766,other,car,0.21288061,other,all_other
cat/ship,B_shape_A_texture,ship,cat,99,453,bird,0.8582817,other,airplane,0.22894073,other,bird,0.11238372,other,monkey,0.47898927,other,all_other
cat/ship,B_shape_A_texture,ship,cat,341,100,bird,0.8341404,other,bird,0.7352462,other,ship,0.11083331,shape,ship,0.9621411,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,262,457,deer,0.7294504,other,ship,0.7099478,shape,ship,0.12080452,shape,ship,0.98048234,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,497,376,deer,0.6737024,other,cat,0.51243865,texture,horse,0.10479961,other,ship,0.800951,shape,disagree_shape_vs_texture
cat/ship,B_shape_A_texture,ship,cat,191,284,bird,0.75964624,other,ship,0.67071307,shape,truck,0.109445296,other,ship,0.44888526,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,83,441,deer,0.7301516,other,ship,0.3720927,shape,ship,0.112871185,shape,ship,0.9481633,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,395,305,bird,0.99969935,other,bird,0.8377266,other,bird,0.11090579,other,bird,0.69855326,other,all_other
cat/ship,B_shape_A_texture,ship,cat,351,244,ship,0.31191328,shape,ship,0.89126325,shape,ship,0.110275365,shape,ship,0.83022267,shape,all_shape
cat/ship,B_shape_A_texture,ship,cat,456,340,deer,0.4766793,other,ship,0.25814956,shape,truck,0.10541982,other,ship,0.32295537,shape,mixed_other
cat/ship,B_shape_A_texture,ship,cat,323,271,bird,0.6910268,other,bird,0.388306,other,cat,0.10673357,texture,monkey,0.23844115,other,mixed_other
cat/ship,B_shape_A_texture,ship,cat,433,300,ship,0.96319556,shape,car,0.23293057,other,bird,0.10975032,other,ship,0.31020218,shape,mixed_other
deer/truck,A_shape_B_texture,deer,truck,138,470,ship,0.49481058,other,bird,0.2856717,other,bird,0.10638186,other,bird,0.6093699,other,all_other
deer/truck,A_shape_B_texture,deer,truck,113,280,ship,0.33288795,other,airplane,0.9649727,other,deer,0.12048767,shape,deer,0.9709853,shape,mixed_other
deer/truck,A_shape_B_texture,deer,truck,133,409,ship,0.9421842,other,deer,0.80242306,shape,horse,0.10763268,other,horse,0.542576,other,mixed_other
deer/truck,A_shape_B_texture,deer,truck,124,360,car,0.42555737,other,car,0.29605454,other,deer,0.11321397,shape,deer,0.93408406,shape,mixed_other
deer/truck,A_shape_B_texture,deer,truck,480,429,ship,0.9138383,other,airplane,0.92146194,other,bird,0.10432197,other,bird,0.39464393,other,all_other
deer/truck,A_shape_B_texture,deer,truck,81,75,ship,0.52742463,other,airplane,0.9990044,other,bird,0.104978085,other,bird,0.23281181,other,all_other
deer/truck,A_shape_B_texture,deer,truck,215,472,truck,0.52502805,texture,ship,0.73981386,other,airplane,0.105723254,other,airplane,0.2946173,other,mixed_other
deer/truck,A_shape_B_texture,deer,truck,345,418,deer,0.53435504,shape,bird,0.9368365,other,bird,0.12798838,other,bird,0.9772056,other,mixed_other
deer/truck,A_shape_B_texture,deer,truck,423,442,truck,0.7724855,texture,car,0.33696467,other,deer,0.10225314,shape,car,0.21862528,other,disagree_shape_vs_texture
deer/truck,A_shape_B_texture,deer,truck,27,410,airplane,0.2826211,other,airplane,0.3778598,other,truck,0.10389476,texture,car,0.32982376,other,mixed_other
deer/truck,A_shape_B_texture,deer,truck,82,492,horse,0.57423115,other,deer,0.50922185,shape,deer,0.13440071,shape,deer,0.97926235,shape,mixed_other
deer/truck,A_shape_B_texture,deer,truck,344,377,ship,0.6436947,other,ship,0.421317,other,airplane,0.10251594,other,deer,0.32424283,shape,mixed_other
deer/truck,A_shape_B_texture,deer,truck,269,34,deer,0.7811272,shape,deer,0.2946871,shape,deer,0.109489076,shape,deer,0.91830724,shape,all_shape
deer/truck,A_shape_B_texture,deer,truck,266,160,deer,0.9458262,shape,deer,0.49163342,shape,deer,0.11897934,shape,horse,0.5960269,other,mixed_other
deer/truck,A_shape_B_texture,deer,truck,487,218,ship,0.79768807,other,ship,0.53076667,other,airplane,0.12179763,other,airplane,0.7952193,other,all_other
deer/truck,A_shape_B_texture,deer,truck,316,396,ship,0.97578543,other,airplane,0.6225598,other,bird,0.1049585,other,ship,0.22687419,other,all_other
deer/truck,A_shape_B_texture,deer,truck,461,489,bird,0.6735546,other,airplane,0.46801066,other,bird,0.105782576,other,car,0.3732018,other,all_other
deer/truck,A_shape_B_texture,deer,truck,336,283,truck,0.76123744,texture,bird,0.21878135,other,truck,0.10487528,texture,ship,0.26053807,other,mixed_other
deer/truck,A_shape_B_texture,deer,truck,350,119,ship,0.9598377,other,ship,0.48277363,other,airplane,0.10382428,other,ship,0.7022876,other,all_other
deer/truck,A_shape_B_texture,deer,truck,175,466,airplane,0.5379437,other,airplane,0.93661815,other,bird,0.104480684,other,bird,0.24065073,other,all_other
deer/truck,A_shape_B_texture,deer,truck,206,240,car,0.7846574,other,airplane,0.5883864,other,airplane,0.1156338,other,car,0.43245208,other,all_other
deer/truck,A_shape_B_texture,deer,truck,298,111,ship,0.3787162,other,deer,0.9862461,shape,deer,0.1294645,shape,deer,0.99593276,shape,mixed_other
deer/truck,A_shape_B_texture,deer,truck,481,79,ship,0.7953914,other,airplane,0.49483815,other,deer,0.1066602,shape,horse,0.35321558,other,mixed_other
deer/truck,A_shape_B_texture,deer,truck,63,296,airplane,0.59668934,other,airplane,0.9152427,other,deer,0.10756128,shape,deer,0.37695053,shape,mixed_other
